0.000000 1504.299999 / 
2.221361 1504.327948 / 
4.442722 1504.338857 / 
6.664082 1504.325320 / 
8.885443 1504.295719 / 
11.106804 1504.249229 / 
13.328165 1504.173380 / 
15.549526 1504.030027 / 
17.770887 1503.712791 / 
19.992247 1503.193359 / 
22.213608 1502.647869 / 
24.434969 1502.247377 / 
26.656330 1501.917347 / 
28.877691 1501.526770 / 
31.099052 1501.051438 / 
33.320412 1500.494398 / 
35.541773 1499.840674 / 
37.763134 1499.064333 / 
39.984495 1498.052926 / 
42.205856 1496.814484 / 
44.427216 1495.648938 / 
46.648577 1494.843591 / 
48.869938 1494.371370 / 
51.091299 1494.063093 / 
53.312660 1493.755304 / 
55.534021 1493.374742 / 
57.755381 1493.007934 / 
59.976742 1492.764967 / 
62.198103 1492.591285 / 
64.419464 1492.381366 / 
66.640825 1492.057924 / 
68.862186 1491.640153 / 
71.083546 1491.274439 / 
73.304907 1491.104212 / 
75.526268 1491.091379 / 
77.747629 1491.118182 / 
79.968990 1491.042441 / 
82.190351 1490.808848 / 
84.411711 1490.505685 / 
86.633072 1490.259006 / 
88.854433 1490.051997 / 
91.075794 1489.831869 / 
93.297155 1489.560784 / 
95.518515 1489.257948 / 
97.739876 1489.002249 / 
99.961237 1488.875019 / 
102.182598 1488.831069 / 
104.403959 1488.805394 / 
106.625320 1488.773660 / 
108.846680 1488.747965 / 
111.068041 1488.726280 / 
113.289402 1488.721060 / 
115.510763 1488.719734 / 
117.732124 1488.719050 / 
119.953485 1488.719566 / 
122.174845 1488.730688 / 
124.396206 1488.729077 / 
126.617567 1488.705685 / 
128.838928 1488.661414 / 
131.060289 1488.617867 / 
133.281649 1488.579496 / 
135.503010 1488.558831 / 
137.724371 1488.555159 / 
139.945732 1488.571047 / 
142.167093 1488.592711 / 
144.388454 1488.612871 / 
146.609814 1488.612447 / 
148.831175 1488.589437 / 
151.052536 1488.552084 / 
153.273897 1488.517851 / 
155.495258 1488.478323 / 
157.716619 1488.432878 / 
159.937979 1488.391660 / 
162.159340 1488.372581 / 
164.380701 1488.377165 / 
166.602062 1488.402343 / 
168.823423 1488.423935 / 
171.044784 1488.430427 / 
173.266144 1488.437272 / 
175.487505 1488.463616 / 
177.708866 1488.491990 / 
179.930227 1488.501490 / 
182.151588 1488.483250 / 
184.372948 1488.445333 / 
186.594309 1488.405129 / 
188.815670 1488.380651 / 
191.037031 1488.364356 / 
193.258392 1488.342639 / 
195.479753 1488.311675 / 
197.701113 1488.269431 / 
199.922474 1488.197839 / 
202.143835 1488.089518 / 
204.365196 1487.964312 / 
206.586557 1487.844119 / 
208.807918 1487.724826 / 
211.029278 1487.596610 / 
213.250639 1487.462236 / 
215.472000 1487.327681 / 
